Credit Name,State,sale_year,Underlying Moodys Rating,Fiscal Year End,Cash & Short-Term Investments (GF),Deferred Rev (GF),Total Liabilities (GF),Unassigned Fund Balance (GF),Total Fund Balance (GF),General Fund Rev,General Fund Exp,Total Taxable Assessed Value,Total Assessed Value,Current Debt Service (all Gov funds),Current Portion GO Debt (Gov),Current Portion Long-Term Debt (Gov),Short-Term Debt (Gov),Long-Term Debt (Gov),"Invested in Capital Assets, net of related debt (Gov)",Total Restricted Net Assets (Gov),Unrestricted Net Assets (Gov),Total Net Assets (Gov),Operating Grants & Contributions (Gov),Total Rev (Gov),Total Exp (Gov),Revenue Over Expense (Gov),Change in Net Assets (Gov),Total Pension Liability (EOY),Total Pension Expense,Population,Total Primary Government Expenses,moodys_ratings_num,short_run_pos,liquidity,net_assets_prev_year,net_asset_growth,operating_margin,own_source_rev,debt_burden,coverage,net_invest_prev_year,cap_asset_condition
Boca Raton,FL,2004,Aaa,2020-09-30,66672,863.0,8431,36964.0,72401,186329.0,175720.0,25197054.0,30818384.0,10998.0,2215.0,7350.0,0.0,40647.0,352857.0,94209.0,43288.0,490354.0,19131.0,248314.0,258507.0,-10193.0,-8877.0,845932.0,19640.0,99870,331046.0,12,0.19838028433577168,8.809725158562367,479409.0,-0.018516548500341044,0.04104883333199095,0.0770435819164445,0.406999098828477,0.042544302475368174,346406.0,1.0186226566514436
Boca Raton,FL,2004,Aaa,2019-09-30,66179,897.0,13676,30383.0,63644,180381.0,167121.0,23885323.0,29348897.0,14593.0,4260.0,9230.0,0.0,48210.0,339885.0,109664.0,49682.0,499231.0,13680.0,249778.0,236947.0,12831.0,14148.0,800995.0,9697.0,99350,305314.0,12,0.16843791751902917,5.178730730104077,490354.0,0.028852624838382065,-0.05136961621920265,0.054768634547478164,0.4852541519879215,0.061587612419655026,352857.0,0.963237232079851
Boca Raton,FL,2004,Aaa,2015-09-30,58558,866.0,10579,44075.0,59037,141676.0,124902.0,18222777.0,22171617.0,12804.0,3850.0,7681.0,0.0,57617.0,343424.0,64313.0,40029.0,447766.0,4495.0,190732.0,168351.0,22381.0,27338.0,642835.0,12810.0,91301,228738.0,12,0.3110971512465061,6.028827344795634,499231.0,0.05476022122023672,-0.11734265880921922,0.02356709938552524,0.6310664724373227,0.07605538428640163,339885.0,1.0104123453521043
Delray Beach,FL,2004,A1,2018-09-30,46177,0.0,8581,37909.0,44139,123999.0,118817.0,9610320.0,13345611.0,10141.0,1750.0,8536.0,0.0,80664.0,133947.0,9744.0,-24386.0,119305.0,8479.0,156976.0,151145.0,5831.0,11774.0,428592.0,19621.0,68725,189175.0,8,0.30572020742102757,5.381307539913763,133940.0,0.08790503210392712,-0.037145805728264196,0.05401462643971053,1.1737213532193524,0.06709451189255351,151463.0,0.8843545948515479
Delray Beach,FL,2004,A1,2019-09-30,47471,0.0,8100,42538.0,45533,134146.0,128478.0,10415841.0,14077364.0,11227.0,1820.0,8313.0,0.0,73912.0,142771.0,10202.0,-24273.0,128700.0,10035.0,172679.0,167841.0,4838.0,9395.0,466479.0,27962.0,69180,205706.0,8,0.317102261714848,5.860617283950617,119305.0,0.07874774737018565,-0.028017303783320496,0.05811360964564307,1.0684012720439433,0.06689068821086623,133947.0,1.0658768020187088
Delray Beach,FL,2004,A1,2017-09-30,44778,0.0,8479,39273.0,42209,118421.0,109267.0,8799185.0,12433930.0,5691.0,1700.0,6502.0,0.0,83171.0,62998.0,37248.0,-16350.0,83896.0,5622.0,129169.0,123897.0,5272.0,8008.0,392673.0,16236.0,67577,161310.0,8,0.33163881406169515,5.2810472933128905,128700.0,0.06222222222222222,-0.04081474657231998,0.0435243750435476,1.2307589860455481,0.04593331557664834,142771.0,0.44125207500122576
Delray Beach,FL,2004,A1,2015-09-30,62693,0.0,38368,31843.0,41065,109832.0,98820.0,7239396.0,9784818.0,17455.0,1590.0,3413.0,0.0,68348.0,67884.0,2992.0,-6749.0,64127.0,6531.0,116362.0,104867.0,11495.0,15674.0,352351.0,13884.0,65026,140745.0,8,0.28992461213489695,1.6339918682235195,83896.0,0.18682654715361877,-0.0987865454357952,0.05612657052989808,1.0510872574047305,0.16644893055012538,62998.0,1.077558017714848
Delray Beach,FL,2004,A1,2016-09-30,39960,0.0,8202,36985.0,39084,114564.0,109886.0,7981341.0,11131981.0,13548.0,1640.0,3479.0,0.0,56893.0,83352.0,3102.0,-10566.0,75888.0,3776.0,122082.0,112143.0,9939.0,11762.0,368764.0,12950.0,66230,145658.0,8,0.322832652491184,4.871982443306511,64127.0,0.1834172813323561,-0.08141249324224702,0.03093003063514687,0.8590215914238261,0.12081003718466601,67884.0,1.2278592893759943
Fort Worth,TX,2004,Aa1,2016-09-30,61859,338.0,28893,68436.0,131921,569916.0,565732.0,49667068.0,58157464.0,102749.0,66263.0,71231.0,0.0,947020.0,1302450.0,53854.0,-1677201.0,-320897.0,61189.0,923562.0,1100614.0,-177052.0,-49152.0,4127343.0,212788.0,835305,1564027.0,11,0.12008085402059251,2.1663106286114515,635928.0,-0.07729176887949579,0.19170559204471382,0.06625326724139798,1.13374156745141,0.09335607215608742,2286781.0,0.5695560703014412
Fort Worth,TX,2004,Aa1,2018-09-30,103877,429.0,37938,107272.0,152701,634378.0,615266.0,61244653.0,68687407.0,143852.0,81885.0,86034.0,0.0,1136845.0,1451492.0,88734.0,-2600878.0,-1060652.0,65082.0,993493.0,1413942.0,-420449.0,-285070.0,5354700.0,391345.0,874297,1902327.0,11,0.16909791953693223,2.7693886800501213,-320897.0,0.8883535838602418,0.4232027804926658,0.06550826226254236,1.3002961236284696,0.10173826083389559,1302450.0,1.1144320319398058
